Tire Size,Rim Size,Quantity
195/65/15,15's,3
205/5516,16's,1
225/75/16,16's,7
215/60/16,16's,1
235/80/16,16's,2
235/65/16,16's,3
205/55/16,16's,2
205/60/16,16's,3
225/65/16,16's,1
205/50/16,16's,2
195/75/16,16's,2
185/55/16,16's,1
205/65/16,16's,1
225/65r17,17's,1
225/65/17,17's,4
235/65/17,17's,5
225/55/17,17's,3
245/70/17,17's,2
265/70/17,17's,1
225/60/17,17's,2
225/50/17,17's,2
245/45/18,18's,7
235/45/18,18's,9
275/65/18,18's,8
235/65/18,18's,4
245/60r18,18's,1
245/60/18,18's,6
235/60/18,18's,2
265/70/18,18's,1
235/40/18,18's,2
255/65/18,18's,4
265/60/18,18's,1
265/65/18,18's,2
225/40/18,18's,3
225/45/18,18's,1
235/40/19,19's,5
245/40/19,19's,3
255/50/19,19's,2
275/60/20,20's,9
275/55/20,20's,4
255/55/20,20's,1
245/60/20,20's,1
275/60 /20,20's,1
255/50/20,20's,1
11r 24.5,Big Truck Tires,1
11r 22.5,Big Truck Tires,2
11r22.5,Big Truck Tires,1
11r24.5,Big Truck Tires,1
